16.2,1.85327,4,52.4001,113.097
16.3,1.86742,4,52.8001,113.097
16.4,1.88157,4,53.2001,113.097
16.5,1.89571,4,53.6001,113.097
16.6,1.90986,4,54.0001,113.097
16.7,1.92401,4,54.4001,113.097
16.8,1.93816,4,54.8001,113.097
16.9,1.9523,4,55.2001,113.097
17,1.96645,4,55.6001,113.097
17.1,1.9806,4,56.0001,113.097
17.2,1.99474,4,56.4001,113.097
17.3,2.00889,4,56.8001,113.097
17.4,2.02304,4,57.2001,113.097
17.5,2.03719,4,57.6001,113.097
17.6,2.05133,4,58.0001,113.097
17.7,2.06548,4,58.4001,113.097
17.8,2.07963,4,58.8001,113.097
17.9,2.09377,4,59.2001,113.097
18,2.10792,4,59.6001,113.097
18.1,2.12207,4,60.0001,113.097
18.2,2.13622,4,60.4001,113.097
18.3,2.15036,4,60.8001,113.097
18.4,2.16451,4,61.2001,113.097
18.5,2.17866,4,61.6001,113.097
18.6,2.1928,4,62.0001,113.097
18.7,2.20695,4,62.4001,113.097
18.8,2.2211,4,62.8001,113.097
18.9,2.23525,4,63.2001,113.097
19,2.24939,4,63.6001,113.097
19.1,2.26354,4,64.0001,113.097
19.2,2.27769,4,64.4001,113.097
19.3,2.29183,4,64.8001,113.097
19.4,2.30598,4,65.2001,113.097
19.5,2.32013,4,65.6001,113.097
19.6,2.33428,4,66.0001,113.097
19.7,2.34842,4,66.4001,113.097
19.8,2.36257,4,66.8001,113.097
19.9,2.37672,4,67.2001,113.097
20,2.39086,4,67.6001,113.097
20.1,2.40501,4,68.0001,113.097
20.2,2.41916,4,68.4001,113.097
20.3,2.43331,4,68.8001,113.097
20.4,2.44745,4,69.2001,113.097
20.5,2.4616,4,69.6001,113.097
20.6,2.47575,4,70.0001,113.097
20.7,2.4899,4,70.4001,113.097
20.8,2.50404,4,70.8001,113.097
20.9,2.51819,4,71.2001,113.097
21,2.53234,4,71.6001,113.097
21.1,2.54648,4,72.0001,113.097
21.2,2.56063,4,72.4001,113.097
21.3,2.57478,4,72.8001,113.097
21.4,2.58893,4,73.2001,113.097
21.5,2.60307,4,73.6001,113.097
21.6,2.61722,4,74.0001,113.097
21.7,2.63137,4,74.4001,113.097
21.8,2.64551,4,74.8001,113.097
21.9,2.65966,4,75.2001,113.097
22,2.67381,4,75.6001,113.097
22.1,2.68796,4,76.0001,113.097
22.2,2.7021,4,76.4001,113.097
22.3,2.71625,4,76.8001,113.097
22.4,2.7304,4,77.2001,113.097
22.5,2.74454,4,77.6002,113.097
22.6,2.75869,4,78.0002,113.097
22.7001,2.77284,4,78.4002,113.097
22.8001,2.78699,4,78.8002,113.097
22.9001,2.80113,4,79.2002,113.097
23.0001,2.81528,4,79.6002,113.097
23.1001,2.82943,4,80.0002,113.097
23.2001,2.84357,4,80.4002,113.097
23.3001,2.85772,4,80.8002,113.097
23.4001,2.87187,4,81.2002,113.097
23.5001,2.88602,4,81.6002,113.097
23.6001,2.90016,4,82.0002,113.097
23.7001,2.91431,4,82.4002,113.097
23.8001,2.92846,4,82.8002,113.097
23.9001,2.9426,4,83.2002,113.097
24.0001,2.95675,4,83.6002,113.097
24.1001,2.9709,4,84.0002,113.097
24.2001,2.98505,4,84.4002,113.097
24.3001,2.99919,4,84.8002,113.097
24.4001,3.01334,4,85.2002,113.097
24.5001,3.02749,4,85.6002,113.097
24.6001,3.04163,4,86.0002,113.097
24.7001,3.05578,4,86.4002,113.097
24.8001,3.06993,4,86.8002,113.097
24.9001,3.08408,4,87.2002,113.097
25.0001,3.09822,4,87.6002,113.097
25.1001,3.11237,4,88.0002,113.097
25.2001,3.12652,4,88.4002,113.097
25.3001,3.14066,4,88.8002,113.097
25.4001,3.15481,4,89.2002,113.097
25.5001,3.16896,4,89.6002,113.097
25.6001,3.18311,4,90.0002,113.097
25.7001,3.19725,4,90.4002,113.097
25.8001,3.2114,4,90.8002,113.097
25.9001,3.22555,4,91.2002,113.097
26.0001,3.23969,4,91.6002,113.097
26.1001,3.25384,4,92.0002,113.097
26.2001,3.26799,4,92.4002,113.097
26.3001,3.28214,4,92.8002,113.097
26.4001,3.29628,4,93.2002,113.097
26.5001,3.31043,4,93.6002,113.097
26.6001,3.32458,4,94.0002,113.097
26.7001,3.33872,4,94.4002,113.097
26.8001,3.35287,4,94.8002,113.097
26.9001,3.36702,4,95.2002,113.097
27.0001,3.38117,4,95.6002,113.097
27.1001,3.39531,4,96.0002,113.097
27.2001,3.40946,4,96.4002,113.097
27.3001,3.42361,4,96.8002,113.097
27.4001,3.43775,4,97.2002,113.097
27.5001,3.4519,4,97.6002,113.097
27.6001,3.46605,4,98.0002,113.097
27.7001,3.4802,4,98.4002,113.097
27.8001,3.49434,4,98.8002,113.097
27.9001,3.50849,4,99.2002,113.097
28.0001,3.52264,4,99.6002,113.097
28.1001,3.53678,4,100,113.097
28.2001,3.55093,4,100.4,113.097
28.3001,3.56508,4,100.8,113.097
28.4001,3.57923,4,101.2,113.097
28.5001,3.59337,4,101.6,113.097
28.6001,3.60752,4,102,113.097
28.7001,3.62167,4,102.4,113.097
28.8001,3.63581,4,102.8,113.097
28.9001,3.64996,4,103.2,113.097
29.0001,3.66411,4,103.6,113.097
29.1001,3.67826,4,104,113.097
29.2001,3.6924,4,104.4,113.097
29.3001,3.70655,4,104.8,113.097
29.4001,3.7207,4,105.2,113.097
29.5001,3.73485,4,105.6,113.097
29.6001,3.74899,4,106,113.097
29.7001,3.76314,4,106.4,113.097
29.8001,3.77729,4,106.8,113.097
29.9001,3.79143,4,107.2,113.097
30.0001,3.80558,4,107.6,113.097
30.1001,3.81973,4,108,113.097
30.2001,3.83388,4,108.4,113.097
30.3001,3.84802,4,108.8,113.097
30.4001,3.86217,4,109.2,113.097
30.5001,3.87632,4,109.6,113.097
30.6001,3.89046,4,110,113.097
30.7001,3.90461,4,110.4,113.097
30.8001,3.91876,4,110.8,113.097
30.9001,3.93291,4,111.2,113.097
31.0001,3.94705,4,111.6,113.097
31.1001,3.9612,4,112,113.097
31.2001,3.97535,4,112.4,113.097
31.3001,3.98949,4,112.8,113.097
31.4001,4.00364,4,113.2,113.097
31.5001,4.00364,4,113.2,113.097
31.6001,4.00364,4,113.2,113.097
31.7001,4.00364,4,113.2,113.097
31.8001,4.00364,4,113.2,113.097
31.9001,4.00364,4,113.2,113.097
32.0001,4.00364,4,113.2,113.097
32.1001,4.00364,4,113.2,113.097
32.2001,4.00364,4,113.2,113.097
32.3001,4.00364,4,113.2,113.097
32.4001,4.00364,4,113.2,113.097
32.5001,4.00364,4,113.2,113.097
32.6001,4.00364,4,113.2,113.097
32.7001,4.00364,4,113.2,113.097
32.8001,4.00364,4,113.2,113.097
32.9001,4.00364,4,113.2,113.097
33.0001,4.00364,4,113.2,113.097
33.1001,4.00364,4,113.2,113.097
33.2001,4.00364,4,113.2,113.097
33.3001,4.00364,4,113.2,113.097
33.4001,4.00364,4,113.2,113.097
33.5001,4.00364,4,113.2,113.097
33.6001,4.01415,1,113.497,28.2743
33.7001,4,1,113.097,28.2743
33.8001,3.98585,1,112.697,28.2743
33.9001,3.97171,1,112.297,28.2743
34.0001,3.95756,1,111.897,28.2743
34.1001,3.94341,1,111.497,28.2743
34.2001,3.92926,1,111.097,28.2743
34.3,3.91512,1,110.697,28.2743
34.4,3.90097,1,110.297,28.2743
34.5,3.88682,1,109.897,28.2743
34.6,3.87268,1,109.497,28.2743
34.7,3.85853,1,109.097,28.2743
34.8,3.84438,1,108.697,28.2743
34.9,3.83023,1,108.297,28.2743
35,3.81609,1,107.897,28.2743
35.1,3.80194,1,107.497,28.2743
35.2,3.78779,1,107.097,28.2743
35.3,3.77365,1,106.697,28.2743
35.4,3.7595,1,106.297,28.2743
35.5,3.74535,1,105.897,28.2743
35.6,3.7312,1,105.497,28.2743
35.7,3.71706,1,105.097,28.2743
35.8,3.70291,1,104.697,28.2743
35.9,3.68876,1,104.297,28.2743
36,3.67462,1,103.897,28.2743
36.1,3.66047,1,103.497,28.2743
36.2,3.64632,1,103.097,28.2743
36.3,3.63217,1,102.697,28.2743
36.4,3.61803,1,102.297,28.2743
36.5,3.60388,1,101.897,28.2743
36.6,3.58973,1,101.497,28.2743
36.7,3.57559,1,101.097,28.2743
36.8,3.56144,1,100.697,28.2743
36.9,3.54729,1,100.297,28.2743
37,3.53314,1,99.8973,28.2743
37.1,3.519,1,99.4973,28.2743
37.2,3.50485,1,99.0973,28.2743
37.3,3.4907,1,98.6973,28.2743
37.4,3.47656,1,98.2973,28.2743
37.5,3.46241,1,97.8973,28.2743
37.6,3.44826,1,97.4973,28.2743
37.7,3.43411,1,97.0973,28.2743
37.8,3.41997,1,96.6973,28.2743
37.9,3.40582,1,96.2973,28.2743
38,3.39167,1,95.8973,28.2743
38.1,3.37752,1,95.4973,28.2743
38.2,3.36338,1,95.0973,28.2743
38.3,3.34923,1,94.6973,28.2743
38.4,3.33508,1,94.2973,28.2743
38.5,3.32094,1,93.8973,28.2743
38.6,3.30679,1,93.4973,28.2743
38.7,3.29264,1,93.0973,28.2743
38.8,3.27849,1,92.6973,28.2743
38.9,3.26435,1,92.2973,28.2743
39,3.2502,1,91.8973,28.2743
39.1,3.23605,1,91.4973,28.2743
39.2,3.22191,1,91.0973,28.2743
39.3,3.20776,1,90.6973,28.2743
39.4,3.19361,1,90.2972,28.2743
39.5,3.17946,1,89.8972,28.2743
39.6,3.16532,1,89.4972,28.2743
39.7,3.15117,1,89.0972,28.2743
39.8,3.13702,1,88.6972,28.2743
